match_id,season,city,date,team1_id,team2_id,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,venue_id,umpire1,umpire2
2012_29,2012,Mumbai,22/04/12,MI,KXI,MI,bat,normal,0,KXI,0,6,Shaun Marsh,"Wankhede Stadium, Mumbai, Maharashtra",1,S Ravi,RJ Tucker
2012_30,2012,Cuttack,22/04/12,DC,KKR,KKR,field,normal,0,KKR,0,5,Brett Lee,Barabati Stadium,21,BF Bowden,SK Tarapore
2012_31,2012,Jaipur,23/04/12,RCB,RR,RR,field,normal,0,RCB,46,0,AB De Villiers,"Sawai Man Singh Stadium, Jaipur, Rajasthan",6,Asad Rauf,S Asnani
2012_32,2012,Pune,24/04/12,PW,DD,PW,bat,normal,0,DD,0,8,Virender Sehwag,Subrata Roy Sahara Stadium,26,S Ravi,RJ Tucker
2012_33,2012,Chandigarh,25/04/12,KXI,MI,KXI,bat,normal,0,MI,0,4,Ambati Rayudu,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",9,Aleem Dar,BNJ Oxenford
2012_34,2012,Pune,26/04/12,DC,PW,DC,bat,normal,0,DC,18,0,Cameron White,Subrata Roy Sahara Stadium,26,S Ravi,RJ Tucker
2012_35,2012,Delhi,27/04/12,DD,MI,MI,field,normal,0,DD,37,0,Virender Sehwag,"Feroz Shah Kotla Stadium, Delhi",2,Aleem Dar,BNJ Oxenford
2012_36,2012,Chennai,28/04/12,KXI,CSK,KXI,bat,normal,0,KXI,7,0,Mandeep Singh,"M.A.Chidambaram Stadium Chennai, Tamil Nadu",5,BF Bowden,SK Tarapore
2012_37,2012,Kolkata,28/04/12,KKR,RCB,KKR,bat,normal,0,KKR,47,0,Gautam Gambhir,"Eden Garden Stadium, Kolkata, West Bengal",3,Asad Rauf,BR Doctrove
2012_38,2012,Delhi,29/04/12,DD,RR,DD,bat,normal,0,DD,1,0,Virender Sehwag,"Feroz Shah Kotla Stadium, Delhi",2,S Ravi,RJ Tucker
2012_39,2012,Mumbai,29/04/12,DC,MI,MI,field,normal,0,MI,0,5,Dale Steyn,"Wankhede Stadium, Mumbai, Maharashtra",1,AK Chaudhary,BNJ Oxenford
2012_40,2012,Chennai,30/04/12,CSK,KKR,CSK,bat,normal,0,KKR,0,5,Gautam Gambhir,"M.A.Chidambaram Stadium Chennai, Tamil Nadu",5,BF Bowden,C Shamshuddin
2012_41,2012,Cuttack,01/05/12,DC,PW,DC,bat,normal,0,DC,13,0,Kumar Sangakkara,Barabati Stadium,21,Aleem Dar,AK Chaudhary
2012_42,2012,Jaipur,01/05/12,RR,DD,RR,bat,normal,0,DD,0,6,Pawan Negi,"Sawai Man Singh Stadium, Jaipur, Rajasthan",6,JD Cloete,SJA Taufel
2012_43,2012,Bangalore,02/05/12,RCB,KXI,KXI,field,normal,0,KXI,0,4,Azhar Mahmood,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,BF Bowden,C Shamshuddin
2012_44,2012,Pune,03/05/12,MI,PW,MI,bat,normal,0,MI,1,0,Lasith Malinga,Subrata Roy Sahara Stadium,26,Asad Rauf,S Asnani
2012_45,2012,Chennai,04/05/12,CSK,DC,CSK,bat,normal,0,CSK,10,0,Suresh Raina,"M.A.Chidambaram Stadium Chennai, Tamil Nadu",5,HDPK Dharmasena,BNJ Oxenford
2012_46,2012,Kolkata,05/05/12,KKR,PW,KKR,bat,normal,0,KKR,7,0,Sunil Narine,"Eden Garden Stadium, Kolkata, West Bengal",3,BF Bowden,SK Tarapore
2012_47,2012,Chandigarh,05/05/12,RR,KXI,RR,bat,normal,0,RR,43,0,Shane Watson,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",9,JD Cloete,SJA Taufel
2012_48,2012,Mumbai,06/05/12,CSK,MI,MI,field,normal,0,MI,0,2,Dwayne Smith,"Wankhede Stadium, Mumbai, Maharashtra",1,Asad Rauf,S Asnani
2012_49,2012,Bangalore,06/05/12,DC,RCB,RCB,field,normal,0,RCB,0,5,AB De Villiers,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,HDPK Dharmasena,BNJ Oxenford
2012_50,2012,Delhi,07/05/12,DD,KKR,DD,bat,normal,0,KKR,0,6,Jacques Kallis,"Feroz Shah Kotla Stadium, Delhi",2,JD Cloete,S Ravi
2012_51,2012,Pune,08/05/12,PW,RR,PW,bat,normal,0,RR,0,7,Shane Watson,Subrata Roy Sahara Stadium,26,Asad Rauf,BR Doctrove
2012_52,2012,Hyderabad,08/05/12,KXI,DC,DC,field,normal,0,KXI,25,0,Mandeep Singh,"Rajiv Gandhi International Stadium, Hyderabad",4,HDPK Dharmasena,BNJ Oxenford
2012_53,2012,Mumbai,09/05/12,MI,RCB,RCB,field,normal,0,RCB,0,9,Chris Gayle,"Wankhede Stadium, Mumbai, Maharashtra",1,BF Bowden,VA Kulkarni
2012_54,2012,Jaipur,10/05/12,RR,CSK,CSK,field,normal,0,CSK,0,4,Ben Hilfenhaus,"Sawai Man Singh Stadium, Jaipur, Rajasthan",6,BNJ Oxenford,C Shamshuddin
2012_55,2012,Pune,11/05/12,RCB,PW,PW,field,normal,0,RCB,35,0,Chris Gayle,Subrata Roy Sahara Stadium,26,BF Bowden,SK Tarapore
2012_56,2012,Kolkata,12/05/12,MI,KKR,MI,bat,normal,0,MI,27,0,Rohit Sharma,"Eden Garden Stadium, Kolkata, West Bengal",3,S Ravi,SJA Taufel
2012_57,2012,Chennai,12/05/12,DD,CSK,CSK,field,normal,0,CSK,0,9,Ben Hilfenhaus,"M.A.Chidambaram Stadium Chennai, Tamil Nadu",5,S Das,BR Doctrove
2012_58,2012,Jaipur,13/05/12,RR,PW,RR,bat,normal,0,RR,45,0,Ajit Chandila,"Sawai Man Singh Stadium, Jaipur, Rajasthan",6,BF Bowden,SK Tarapore
2012_59,2012,Chandigarh,13/05/12,DC,KXI,DC,bat,normal,0,KXI,0,4,David Hussey,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",9,HDPK Dharmasena,BNJ Oxenford
2012_60,2012,Bangalore,14/05/12,RCB,MI,MI,field,normal,0,MI,0,5,Ambati Rayudu,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,S Das,BR Doctrove
2012_61,2012,Kolkata,14/05/12,KKR,CSK,CSK,field,normal,0,CSK,0,5,Michael Hussey,"Eden Garden Stadium, Kolkata, West Bengal",3,JD Cloete,SJA Taufel
2012_62,2012,Delhi,15/05/12,KXI,DD,KXI,bat,normal,0,DD,0,5,Umesh Yadav,"Feroz Shah Kotla Stadium, Delhi",2,HDPK Dharmasena,BNJ Oxenford
2012_63,2012,Mumbai,16/05/12,KKR,MI,MI,field,normal,0,KKR,32,0,Sunil Narine,"Wankhede Stadium, Mumbai, Maharashtra",1,S Das,BR Doctrove
2012_64,2012,Dharamsala,17/05/12,CSK,KXI,KXI,field,normal,0,KXI,0,6,Adam Gilchrist,Himachal Pradesh Cricket Association Stadium,23,VA Kulkarni,SK Tarapore
2012_65,2012,Delhi,17/05/12,RCB,DD,DD,field,normal,0,RCB,21,0,Chris Gayle,"Feroz Shah Kotla Stadium, Delhi",2,HDPK Dharmasena,C Shamshuddin
2012_66,2012,Hyderabad,18/05/12,RR,DC,RR,bat,normal,0,DC,0,5,Dale Steyn,"Rajiv Gandhi International Stadium, Hyderabad",4,S Ravi,SJA Taufel
2012_67,2012,Dharamsala,19/05/12,KXI,DD,DD,field,normal,0,DD,0,6,Umesh Yadav,Himachal Pradesh Cricket Association Stadium,23,BF Bowden,VA Kulkarni
2012_68,2012,Pune,19/05/12,KKR,PW,KKR,bat,normal,0,KKR,34,0,Shakib Al Hasan,Subrata Roy Sahara Stadium,26,S Asnani,BR Doctrove
2012_69,2012,Hyderabad,20/05/12,DC,RCB,RCB,field,normal,0,DC,9,0,Dale Steyn,"Rajiv Gandhi International Stadium, Hyderabad",4,S Ravi,SJA Taufel
2012_70,2012,Jaipur,20/05/12,RR,MI,RR,bat,normal,0,MI,0,10,Dwayne Smith,"Sawai Man Singh Stadium, Jaipur, Rajasthan",6,HDPK Dharmasena,C Shamshuddin
2012_71,2012,Pune,22/05/12,KKR,DD,KKR,bat,normal,0,KKR,18,0,Yusuf Pathan,Subrata Roy Sahara Stadium,26,BR Doctrove,SJA Taufel
2012_72,2012,Bangalore,23/05/12,CSK,MI,MI,field,normal,0,CSK,38,0,Mahendra Singh Dhoni,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,BF Bowden,HDPK Dharmasena
2012_73,2012,Chennai,25/05/12,CSK,DD,DD,field,normal,0,CSK,86,0,Murali Vijay,"M.A.Chidambaram Stadium Chennai, Tamil Nadu",5,BR Doctrove,SJA Taufel
2012_74,2012,Chennai,27/05/12,CSK,KKR,CSK,bat,normal,0,KKR,0,5,Manvinder Bisla,"M.A.Chidambaram Stadium Chennai, Tamil Nadu",5,BF Bowden,SJA Taufel
2013_1,2013,Kolkata,03/04/13,DD,KKR,KKR,field,normal,0,KKR,0,6,Sunil Narine,"Eden Garden Stadium, Kolkata, West Bengal",3,S Ravi,SJA Taufel
2013_2,2013,Bangalore,04/04/13,RCB,MI,MI,field,normal,0,RCB,2,0,Chris Gayle,"M.Chinnaswamy Stadium Bengaluru, Karnataka",7,VA Kulkarni,C Shamshuddin
2013_3,2013,Hyderabad,05/04/13,SRH,PW,PW,field,normal,0,SRH,22,0,Amit Mishra,"Rajiv Gandhi International Stadium, Hyderabad",4,S Ravi,SJA Taufel
2013_4,2013,Delhi,06/04/13,RR,DD,RR,bat,normal,0,RR,5,0,Rahul Dravid,"Feroz Shah Kotla Stadium, Delhi",2,S Das,C Shamshuddin
